cod_marca;cod_modelo;nome_modelo;ultimo_ano
161;5534;QQ 1.1/1.0 12V 69cv 5p;2015
161;5740;S-18 1.3 16V Flex Mec. 5p;2012
161;6661;Tiggo 2.0 16V Aut. 5p;2015
161;5021;Tiggo 2.0 16V Mec. 5p;2015
11;260;Javali 3.0 4x4 Diesel;1995
136;4392;Cargo 1.0 8V 53cv (Pick-Up);2012
136;4393;Cargo CD 1.0 8V 53cv (Pick-Up);2012
136;4394;Cargo CE 1.0 8V 53cv (Pick-Up);2012
136;4395;Family 1.0 8V 53cv (Perua);2009
136;4396;Utility 1.0 8V 53cv  (Furgão);2009
182;5872;MINI STAR CD 1.0 8V 53cv (Pick-Up);2012
182;5873;MINI STAR CE 1.0 8V 53cv (Pick-Up);2012
182;5874;MINI STAR CS 1.0 8V 53cv (Pick-Up);2012
182;5875;MINI STAR CSB 1.0 8V 53cv (Pick-Up Báu);2012
182;5876;MINI STAR Family 1.0 8V 53cv (MiniVan);2012
182;5877;MINI STAR Utility 1.0 8V 53cv (Furgão);2012
12;4528;300 C 3.5 V6 249cv;2009
12;5878;300 C 3.6 V6 Aut.;2016
12;3881;300 C 5.7 V8 16V 340cv Aut.;2009
12;4186;300 C SRT8 6.1 V8 16V 431cv Aut;2010
12;4158;300 C Touring 5.7 V8 16V 340cv Aut.;2009
12;261;300 M 3.5;2001
12;262;Caravan LE  3.3;2000
12;3811;Caravan LX 3.3 V6 182cv;2007
12;263;Caravan LX 3.8;1999
12;264;Caravan SE 2.4/3.3;2001
12;265;Cirrus LXi 2.5 V6 24V;1995
12;267;Grand Caravan LE 3.3 Aut;2001
12;268;Grand Caravan Limited 3.3 V6 12V 182cv;2007
12;269;Grand Caravan LX 3.8;2001
12;266;Grand Caravan SE 3.3 V6;2006
12;270;LE Baron 3.0 V6;1993
12;271;LE Baron 3.0 V6 Conv.;1995
12;272;Neon LE 1.8;1999
12;273;Neon LE/Highline 2.0;2001
12;274;Neon Sport 1.8/2.0;1999
12;4255;PT Cruiser Cabrio 2.4 16V 143cv 2p;2007
12;3882;PT Cruiser Classic 2.4 16V 143cv 4p;2009
12;275;PT Cruiser Limited 2.0 16V 4p;2004
